data,node,box,description,boxtext,tooltips,url,n
NA,node4,prevstud,"Caixa de título cinza; Estudos prévios",Estudos prévios,"Caixa de título cinza; Estudos prévios",prevstud.html,0
previous_studies,node5,box1,Estudos incluídos em versões anteriores da revisão,Estudos incluídos em versões anteriores da revisão,Estudos incluídos em versões anteriores da revisão,previous_studies.html,0
previous_reports,NA,box1,Publicações de estudos incluídas em versões anteriores da revisão,Publicações de estudos incluídas em versões anteriores da revisão,NA,previous_reports.html,0
NA,node6,newstud,"Caixa de título amarela; Identificação de novos estudos via bases de dados e repositórios",Identificação de novos estudos via bases de dados e repositórios,"Caixa de título amarela; Identificação de novos estudos via bases de dados e repositórios",newstud.html,0
database_results,node7,box2,"Registros identificados de: Bases de dados",Bases de dados,"Registros identificados de: Bases de dados e Repositórios",database_results.html,0
database_specific_results,NA,box2,"Registros identificados de: bases de dados específicas",Bases de dados específicas,NA,database_results.html,"Base de dados 1, xxx; Base de dados 2, xxx; Base de dados 3, xxx"
register_results,NA,box2,"Registros identificados de: Repositórios de registros",Repositórios de registros,NA,NA,0
register_specific_results,NA,box2,"Registros identificados de: registros específicos",Registros específicos,NA,database_results.html,"Registro 1, xxx; Registro 2, xxx; Registro 3, xxx"
NA,node16,othstud,"Caixa de título cinza; Identificação de novos estudos por outros métodos",Identificação de novos estudos por outros métodos,"Caixa de título cinza; Identificação de novos estudos por outros métodos",othstud.html,0
website_results,node17,box11,"Registros identificados de: Sites",Sites,"Registros identificados de: Sites, Organizações e Buscas por citações",website_results.html,0
organisation_results,,box11,"Registros identificados de: Organizações",Organizações,NA,NA,0
citations_results,NA,box11,"Registros identificados de: Buscas por citações",Buscas por citações,NA,NA,0
duplicates,node8,box3,Registros duplicados,Registros duplicados,Registros duplicados,duplicates.html,0
excluded_automatic,NA,box3,Registros marcados como inelegíveis por ferramentas de automação,Registros marcados como inelegíveis por ferramentas de automação,NA,NA,0
excluded_other,NA,box3,Registros removidos por outras razões,Registros removidos por outras razões,NA,NA,0
records_screened,node9,box4,"Registros triados (bases de dados e repositórios)",Registros triados,"Registros triados (bases de dados e repositórios)",records_screened.html,0
records_excluded,node10,box5,"Registros excluídos (bases de dados e repositórios)",Registros excluídos,"Registros excluídos (bases de dados e repositórios)",records_excluded.html,0
dbr_sought_reports,node11,box6,"Publicações recuperadas (bases de dados e repositórios)",Publicações recuperadas,"Publicações recuperadas (bases de dados e repositórios)",dbr_sought_reports.html,0
dbr_notretrieved_reports,node12,box7,"Publicações não recuperadas (bases de dados e repositórios)",Publicações não recuperadas,"Publicações não recuperadas (bases de dados e repositórios)",dbr_notretrieved_reports.html,0
other_sought_reports,node18,box12,"Publicações recuperadas (outros métodos)",Publicações recuperadas,"Publicações recuperadas (outros métodos)",other_sought_reports.html,0
other_notretrieved_reports,node19,box13,"Publicações não recuperadas (outros métodos)",Publicações não recuperadas,"Publicações não recuperadas (outros métodos)",other_notretrieved_reports.html,0
dbr_assessed,node13,box8,"Publicações avaliadas para elegibilidade (bases de dados e repositórios)",Publicações avaliadas para elegibilidade,"Publicações avaliadas para elegibilidade (bases de dados e repositórios)",dbr_assessed.html,0
dbr_excluded,node14,box9,"Publicações excluídas (bases de dados e repositórios): [separe as razões e números com ; ex.: Razão 1, xxx; Razão 2, xxx; Razão 3, xxx]",Publicações excluídas,"Publicações excluídas (bases de dados e repositórios)",dbrexcludedrecords.html,
other_assessed,node20,box14,"Publicações avaliadas para elegibilidade (outros métodos)",Publicações avaliadas para elegibilidade,"Publicações avaliadas para elegibilidade (outros métodos)",other_assessed.html,0
other_excluded,node21,box15,"Publicações excluídas (outros métodos): [separe as razões e números com ; ex.: Razão 1, xxx; Razão 2, xxx; Razão 3, xxx]",Publicações excluídas,"Publicações excluídas (outros métodos)",other_excluded.html,
new_studies,node15,box10,Novos estudos incluídos na revisão,Novos estudos incluídos na revisão,Novos estudos incluídos na revisão,new_studies.html,0
new_reports,NA,box10,Publicações de novos estudos incluídos,Publicações de novos estudos incluídos,NA,NA,0
total_studies,node22,box16,Total de estudos incluídos na revisão,Total de estudos incluídos na revisão,Total de estudos incluídos na revisão,total_studies.html,0
total_reports,NA,box16,Publicações do total de estudos incluídos,Publicações do total de estudos incluídos,NA,NA,0
identification,node1,identification,"Caixa azul de identificação",Identificação,"Caixa azul de identificação",identification.html,0
screening,node2,screening,"Caixa azul de triagem",Triagem,"Caixa azul de triagem",screening.html,0
included,node3,included,"Caixa azul de incluídos",Incluídos,"Caixa azul de incluídos",included.html,0
total_studies_ma,node23,box17,Total de estudos incluídos na meta-análise,Total de estudos incluídos na meta-análise,Total de estudos incluídos na meta-análise,total_studies_meta_analysis.html,0
total_reports_ma,NA,box17,Publicações do total de estudos incluídos na meta-análise,Publicações do total de estudos incluídos na meta-análise,NA,NA,0
